iter	Passed	Remaining
0	52	52792
1	64	32076
2	144	48104
3	156	38915
4	240	47818
5	308	51135
6	319	45284
7	329	40841
8	339	37365
9	348	34540
10	357	32108
11	366	30201
12	375	28514
13	386	27189
14	394	25931
15	405	24912
16	413	23909
17	424	23152
18	437	22568
19	447	21919
20	463	21593
21	472	21023
22	483	20552
23	495	20162
24	505	19718
25	516	19348
26	558	20140
27	577	20038
28	587	19664
29	599	19370
30	613	19169
31	640	19362
32	650	19070
33	660	18753
34	668	18444
35	678	18179
36	688	17912
37	699	17711
38	712	17562
39	723	17359
40	732	17130
41	742	16945
42	751	16731
43	761	16543
44	771	16382
45	780	16194
46	790	16029
47	798	15843
48	809	15705
49	819	15565
50	827	15405
51	837	15267
52	845	15115
53	856	15012
54	868	14929
55	877	14797
56	887	14675
57	897	14572
58	907	14470
59	916	14356
60	924	14234
61	935	14150
62	945	14069
63	957	13999
64	968	13927
65	979	13859
66	990	13798
67	1002	13746
68	1015	13700
69	1025	13629
70	1037	13579
71	1048	13511
72	1059	13448
73	1068	13376
74	1079	13314
75	1088	13233
76	1098	13164
77	1109	13117
78	1119	13050
79	1129	12984
80	1139	12925
81	1148	12852
82	1157	12782
83	1165	12709
84	1174	12648
85	1183	12581
86	1194	12531
87	1203	12470
88	1212	12408
89	1220	12341
90	1229	12284
91	1239	12235
92	1247	12161
93	1255	12097
94	1263	12035
95	1271	11974
96	1279	11909
97	1287	11851
98	1295	11793
99	1306	11761
100	1313	11695
101	1321	11638
102	1329	11578
103	1338	11534
104	1346	11474
105	1358	11453
106	1365	11395
107	1374	11353
108	1383	11306
109	1390	11250
110	1398	11198
111	1407	11156
112	1417	11127
113	1429	11107
114	1439	11074
115	1448	11037
116	1456	10995
117	1465	10952
118	1473	10909
119	1481	10863
120	1489	10819
121	1497	10779
122	1509	10763
123	1518	10729
124	1527	10691
125	1534	10647
126	1543	10611
127	1552	10576
128	1563	10555
129	1573	10528
130	1582	10495
131	1592	10468
132	1599	10428
133	1610	10405
134	1618	10372
135	1627	10338
136	1634	10294
137	1643	10264
138	1655	10254
139	1665	10228
140	1674	10203
141	1683	10169
142	1692	10143
143	1702	10120
144	1713	10100
145	1721	10071
146	1731	10049
147	1741	10028
148	1749	9994
149	1759	9968
150	1767	9940
151	1775	9904
152	1783	9872
153	1791	9839
154	1799	9809
155	1808	9784
156	1817	9761
157	1827	9736
158	1836	9714
159	1844	9684
160	1852	9652
161	1860	9621
162	1867	9591
163	1875	9559
164	1884	9534
165	1893	9510
166	1900	9480
167	1908	9452
168	1915	9421
169	1924	9395
170	1935	9383
171	1945	9365
172	1953	9340
173	1963	9320
174	1972	9299
175	1983	9284
176	1993	9267
177	2002	9245
178	2010	9220
179	2019	9199
180	2032	9196
181	2041	9177
182	2051	9160
183	2060	9139
184	2069	9115
185	2080	9105
186	2095	9109
187	2103	9084
188	2112	9065
189	2122	9049
190	2132	9031
191	2179	9173
192	2189	9155
193	2221	9229
194	2240	9248
195	2250	9229
196	2284	9312
197	2294	9291
198	2327	9367
199	2377	9508
200	2393	9515
201	2458	9712
202	2537	9963
203	2550	9950
204	2564	9943
205	2580	9947
206	2599	9958
207	2610	9938
208	2622	9925
209	2637	9920
210	2651	9914
211	2668	9917
212	2683	9913
213	2697	9906
214	2709	9893
215	2720	9875
216	2764	9976
217	2776	9960
218	2787	9940
219	2799	9926
220	2811	9908
221	2824	9899
222	2836	9883
223	2847	9863
224	2857	9841
225	2865	9814
226	2877	9798
227	2887	9775
228	2895	9749
229	2904	9723
230	2913	9698
231	2922	9675
232	2932	9652
233	2941	9628
234	2950	9605
235	2958	9578
236	2968	9557
237	2979	9540
238	2989	9517
239	2998	9494
240	3008	9475
241	3018	9455
242	3026	9427
243	3035	9403
244	3043	9380
245	3055	9364
246	3065	9346
247	3073	9321
248	3086	9307
249	3096	9290
250	3104	9263
251	3114	9244
252	3124	9224
253	3132	9200
254	3142	9179
255	3149	9154
256	3157	9129
257	3166	9105
258	3174	9081
259	3182	9057
260	3189	9030
261	3198	9008
262	3205	8982
263	3215	8963
264	3222	8937
265	3230	8914
266	3240	8896
267	3250	8876
268	3258	8854
269	3267	8833
270	3275	8811
271	3283	8786
272	3292	8766
273	3301	8746
274	3310	8727
275	3319	8708
276	3329	8691
277	3338	8670
278	3345	8646
279	3353	8622
280	3362	8604
281	3371	8585
282	3381	8566
283	3389	8545
284	3397	8524
285	3407	8505
286	3415	8486
287	3423	8463
288	3432	8445
289	3441	8426
290	3449	8405
291	3457	8382
292	3465	8361
293	3472	8339
294	3481	8319
295	3489	8299
296	3498	8280
297	3506	8259
298	3514	8239
299	3522	8218
300	3534	8207
301	3542	8188
302	3551	8169
303	3559	8149
304	3567	8130
305	3575	8108
306	3583	8089
307	3591	8069
308	3599	8048
309	3608	8031
310	3617	8014
311	3625	7994
312	3632	7973
313	3642	7957
314	3650	7937
315	3658	7918
316	3666	7900
317	3674	7880
318	3681	7858
319	3688	7838
320	3695	7817
321	3703	7798
322	3710	7777
323	3720	7761
324	3728	7742
325	3736	7724
326	3744	7707
327	3753	7689
328	3762	7673
329	3769	7653
330	3777	7634
331	3784	7615
332	3793	7599
333	3802	7581
334	3811	7566
335	3821	7551
336	3829	7533
337	3837	7516
338	3846	7499
339	3855	7484
340	3863	7466
341	3872	7450
342	3880	7433
343	3888	7414
344	3896	7397
345	3920	7410
346	3928	7392
347	3937	7377
348	3949	7366
349	3959	7353
350	3966	7333
351	3974	7315
352	3981	7296
353	3989	7279
354	3996	7261
355	4004	7244
356	4012	7227
357	4020	7209
358	4028	7192
359	4035	7173
360	4043	7156
361	4051	7141
362	4060	7125
363	4069	7110
364	4077	7093
365	4085	7077
366	4093	7060
367	4101	7043
368	4110	7028
369	4120	7015
370	4127	6997
371	4135	6982
372	4142	6963
373	4150	6946
374	4158	6930
375	4166	6915
376	4176	6902
377	4184	6885
378	4192	6869
379	4200	6853
380	4210	6840
381	4266	6902
382	4275	6887
383	4314	6921
384	4323	6906
385	4369	6949
386	4378	6935
387	4418	6969
388	4464	7012
389	4477	7002
390	4598	7161
391	4616	7159
392	4628	7149
393	4646	7146
394	4661	7140
395	4671	7124
396	4679	7108
397	4688	7091
398	4697	7074
399	4705	7057
400	4713	7040
401	4721	7024
402	4730	7007
403	4739	6991
404	4748	6976
405	4757	6960
406	4766	6944
407	4782	6938
408	4791	6923
409	4800	6907
410	4809	6892
411	4819	6877
412	4827	6861
413	4836	6846
414	4844	6829
415	4854	6815
416	4864	6800
417	4872	6784
418	4882	6770
419	4891	6754
420	4932	6783
421	4940	6766
422	4948	6750
423	4957	6734
424	4967	6720
425	4977	6706
426	4988	6694
427	4999	6680
428	5009	6667
429	5018	6651
430	5026	6635
431	5034	6619
432	5042	6603
433	5051	6587
434	5059	6571
435	5068	6556
436	5077	6541
437	5086	6526
438	5098	6515
439	5110	6503
440	5118	6488
441	5127	6472
442	5135	6456
443	5146	6444
444	5161	6437
445	5170	6422
446	5179	6407
447	5188	6393
448	5197	6378
449	5205	6362
450	5215	6349
451	5225	6335
452	5233	6320
453	5244	6306
454	5257	6297
455	5267	6284
456	5277	6270
457	5287	6257
458	5298	6245
459	5307	6230
460	5316	6216
461	5327	6204
462	5337	6190
463	5348	6177
464	5357	6163
465	5365	6148
466	5374	6134
467	5383	6119
468	5393	6106
469	5403	6093
470	5412	6079
471	5420	6063
472	5428	6048
473	5436	6033
474	5446	6019
475	5454	6004
476	5464	5990
477	5471	5974
478	5479	5960
479	5487	5945
480	5496	5931
481	5505	5916
482	5515	5903
483	5524	5890
484	5532	5875
485	5540	5859
486	5548	5844
487	5555	5828
488	5563	5813
489	5570	5798
490	5578	5783
491	5586	5767
492	5594	5753
493	5601	5737
494	5610	5723
495	5618	5709
496	5626	5694
497	5633	5678
498	5641	5663
499	5648	5648
500	5656	5633
501	5664	5619
502	5673	5605
503	5680	5590
504	5689	5576
505	5696	5561
506	5704	5546
507	5713	5533
508	5721	5518
509	5729	5504
510	5736	5489
511	5744	5475
512	5752	5460
513	5760	5447
514	5770	5433
515	5779	5420
516	5786	5405
517	5794	5392
518	5802	5377
519	5811	5364
520	5820	5351
521	5829	5337
522	5837	5323
523	5846	5311
524	5855	5297
525	5863	5283
526	5871	5269
527	5878	5254
528	5885	5240
529	5899	5231
530	5909	5219
531	5917	5205
532	5924	5191
533	5931	5176
534	5940	5163
535	5947	5148
536	5954	5133
537	5962	5120
538	5972	5108
539	5981	5094
540	5988	5080
541	5996	5066
542	6003	5052
543	6012	5039
544	6019	5025
545	6028	5012
546	6036	4999
547	6043	4985
548	6051	4971
549	6058	4956
550	6065	4942
551	6072	4928
552	6079	4913
553	6086	4899
554	6093	4885
555	6100	4871
556	6107	4857
557	6115	4844
558	6123	4831
559	6130	4816
560	6138	4803
561	6146	4790
562	6153	4776
563	6161	4762
564	6167	4748
565	6175	4735
566	6182	4721
567	6191	4709
568	6199	4695
569	6207	4683
570	6216	4670
571	6224	4657
572	6232	4644
573	6240	4631
574	6249	4619
575	6256	4605
576	6304	4621
577	6329	4621
578	6344	4612
579	6380	4620
580	6421	4631
581	6430	4618
582	6460	4620
583	6468	4607
584	6498	4610
585	6508	4597
586	6535	4597
587	6546	4586
588	6556	4575
589	6565	4562
590	6575	4550
591	6585	4538
592	6593	4525
593	6605	4514
594	6614	4502
595	6627	4492
596	6636	4479
597	6646	4468
598	6661	4459
599	6672	4448
600	6693	4443
601	6703	4432
602	6712	4419
603	6720	4406
604	6731	4395
605	6741	4383
606	6750	4370
607	6758	4357
608	6783	4355
609	6792	4342
610	6800	4329
611	6810	4317
612	6820	4306
613	6833	4295
614	6843	4284
615	6855	4273
616	6865	4261
617	6909	4270
618	6919	4259
619	6930	4247
620	6938	4234
621	6951	4224
622	6962	4213
623	6972	4201
624	6982	4189
625	6993	4178
626	7001	4165
627	7010	4152
628	7022	4142
629	7031	4129
630	7044	4119
631	7055	4107
632	7064	4095
633	7073	4083
634	7083	4071
635	7093	4059
636	7105	4048
637	7118	4039
638	7128	4027
639	7138	4015
640	7150	4004
641	7158	3991
642	7167	3979
643	7176	3966
644	7184	3954
645	7193	3941
646	7203	3930
647	7216	3920
648	7228	3909
649	7250	3904
650	7259	3891
651	7268	3879
652	7277	3867
653	7284	3854
654	7293	3841
655	7301	3828
656	7310	3816
657	7319	3804
658	7326	3791
659	7335	3778
660	7343	3766
661	7352	3753
662	7368	3745
663	7383	3736
664	7391	3723
665	7399	3710
666	7407	3698
667	7416	3685
668	7424	3673
669	7431	3660
670	7440	3648
671	7450	3636
672	7459	3624
673	7467	3611
674	7474	3598
675	7481	3585
676	7488	3572
677	7496	3560
678	7504	3547
679	7511	3534
680	7519	3522
681	7525	3509
682	7533	3496
683	7540	3483
684	7548	3471
685	7556	3458
686	7563	3446
687	7571	3433
688	7578	3420
689	7586	3408
690	7593	3395
691	7600	3383
692	7607	3370
693	7614	3357
694	7626	3346
695	7633	3334
696	7640	3321
697	7648	3309
698	7656	3297
699	7665	3285
700	7672	3272
701	7680	3260
702	7687	3247
703	7694	3235
704	7701	3222
705	7710	3210
706	7717	3198
707	7723	3185
708	7730	3172
709	7736	3159
710	7741	3146
711	7749	3134
712	7757	3122
713	7763	3109
714	7769	3097
715	7776	3084
716	7783	3071
717	7790	3059
718	7797	3047
719	7805	3035
720	7811	3022
721	7818	3010
722	7825	2998
723	7833	2986
724	7839	2973
725	7845	2960
726	7853	2949
727	7859	2936
728	7866	2924
729	7872	2911
730	7878	2899
731	7885	2887
732	7893	2875
733	7902	2863
734	7907	2851
735	7917	2839
736	7925	2828
737	7934	2816
738	7943	2805
739	7950	2793
740	7961	2782
741	7973	2772
742	7982	2761
743	7991	2749
744	8001	2738
745	8012	2728
746	8021	2716
747	8031	2705
748	8040	2694
749	8053	2684
750	8066	2674
751	8075	2663
752	8092	2654
753	8103	2643
754	8114	2633
755	8125	2622
756	8134	2611
757	8145	2600
758	8156	2589
759	8166	2578
760	8175	2567
761	8183	2556
762	8195	2545
763	8206	2535
764	8217	2524
765	8231	2514
766	8266	2511
767	8289	2504
768	8318	2498
769	8433	2519
770	8443	2507
771	8506	2512
772	8565	2515
773	8627	2519
774	8647	2510
775	8657	2499
776	8666	2487
777	8675	2475
778	8685	2463
779	8694	2452
780	8702	2440
781	8712	2428
782	8722	2417
783	8729	2405
784	8737	2393
785	8745	2380
786	8753	2369
787	8761	2357
788	8769	2345
789	8777	2333
790	8785	2321
791	8794	2309
792	8802	2297
793	8809	2285
794	8817	2273
795	8827	2262
796	8835	2250
797	8846	2239
798	8856	2227
799	8863	2215
800	8872	2204
801	8880	2192
802	8887	2180
803	8895	2168
804	8902	2156
805	8912	2145
806	8920	2133
807	8928	2121
808	8946	2112
809	8964	2102
810	8974	2091
811	8983	2079
812	8992	2068
813	9003	2057
814	9013	2045
815	9024	2034
816	9034	2023
817	9045	2012
818	9052	2000
819	9061	1989
820	9070	1977
821	9079	1966
822	9088	1954
823	9095	1942
824	9105	1931
825	9115	1920
826	9125	1909
827	9135	1897
828	9143	1886
829	9151	1874
830	9159	1862
831	9169	1851
832	9178	1840
833	9188	1828
834	9197	1817
835	9206	1806
836	9214	1794
837	9221	1782
838	9228	1770
839	9236	1759
840	9245	1747
841	9254	1736
842	9262	1724
843	9269	1713
844	9276	1701
845	9285	1690
846	9293	1678
847	9304	1667
848	9314	1656
849	9323	1645
850	9331	1633
851	9339	1622
852	9347	1610
853	9354	1599
854	9361	1587
855	9369	1576
856	9377	1564
857	9385	1553
858	9392	1541
859	9399	1530
860	9407	1518
861	9415	1507
862	9422	1495
863	9430	1484
864	9439	1473
865	9446	1461
866	9454	1450
867	9462	1438
868	9469	1427
869	9476	1416
870	9485	1404
871	9494	1393
872	9507	1383
873	9515	1371
874	9523	1360
875	9531	1349
876	9540	1338
877	9548	1326
878	9556	1315
879	9565	1304
880	9574	1293
881	9581	1281
882	9590	1270
883	9598	1259
884	9605	1248
885	9613	1237
886	9622	1225
887	9631	1214
888	9640	1203
889	9650	1192
890	9658	1181
891	9667	1170
892	9674	1159
893	9682	1148
894	9689	1136
895	9697	1125
896	9706	1114
897	9717	1103
898	9726	1092
899	9740	1082
900	9749	1071
901	9758	1060
902	9768	1049
903	9779	1038
904	9787	1027
905	9796	1016
906	9809	1005
907	9823	995
908	9840	985
909	9858	975
910	9876	964
911	9889	954
912	9904	943
913	9922	933
914	9932	922
915	9943	911
916	9955	901
917	9967	890
918	9978	879
919	10034	872
920	10046	861
921	10061	851
922	10072	840
923	10086	829
924	10100	818
925	10111	808
926	10122	797
927	10134	786
928	10146	775
929	10155	764
930	10175	754
931	10189	743
932	10205	732
933	10215	721
934	10230	711
935	10245	700
936	10257	689
937	10270	678
938	10281	667
939	10295	657
940	10312	646
941	10322	635
942	10332	624
943	10341	613
